id,category,question,expected_conflict_type,predicted_conflict_type,conflict_type_correct,expected_strategy,predicted_strategy,strategy_correct,expected_abstain,predicted_abstain,abstain_correct,overall_correct,latency_seconds,final_answer,explanation
A04,ambiguous_question,What equipment budget is provided?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,False,9.8019,"The equipment budget provided depends on whether the employee is a full-time or a contractor. Full-time employees receive an $800 equipment budget, while contractors receive a $350 equipment budget.","The evidence contains two policies: one for full-time employees and another for contractors. The question does not specify whether the employee is full-time or a contractor, so both conditions are valid. The answer provided explains the difference in the equipment budget for each group."
A05,ambiguous_question,How many remote days are allowed?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,False,11.5645,"The policy regarding the number of remote days allowed differs for managers and individual contributors. Managers are allowed to work remotely one day per week, while individual contributors are allowed to work remotely three days per week.","The evidence provided contains two different policies: one for managers and another for individual contributors. The managers' policy states they may work remotely one day per week, while the individual contributors' policy states they may work remotely three days per week. The question does not specify whether the policy applies to managers or individual contributors, hence the difference in the number of remote days allowed."
A06,ambiguous_question,What conference budget can employees use?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,False,10.3292,"The conference budget for employees is $1200 per year if they are based in the United States, and $1800 per year if they are based in Europe.","The evidence provides two different policies for conference spending based on the location of the employees. Employees based in the United States are allowed to spend $1200 per year on conferences, while employees based in Europe are allowed to spend $1800 per year on conferences."
I01,insufficient_evidence,What is the employee dental insurance deductible?,insufficient_evidence,no_conflict,False,abstain,no_resolution_needed,False,True,False,False,False,8.423,There is no information provided about the employee dental insurance deductible in the given evidence.,"The provided evidence does not contain any information related to the employee dental insurance deductible. The evidence focuses on remote work schedules and discounted parking permits, but does not mention dental insurance or any related deductibles."
I02,insufficient_evidence,How much is the annual childcare subsidy?,insufficient_evidence,no_conflict,False,abstain,no_resolution_needed,False,True,False,False,False,7.1695,The provided evidence does not contain information about the annual childcare subsidy.,"The evidence provided focuses on training days for employees and the ability to claim travel expenses, but does not mention any information about childcare subsidies."
I03,insufficient_evidence,What is the company stock purchase discount?,insufficient_evidence,no_conflict,False,abstain,no_resolution_needed,False,True,False,False,False,7.4009,The provided evidence does not contain any information about company stock purchase discounts.,The evidence provided focuses on employee benefits such as paid sick days for employees and internet reimbursement for remote employees. There is no information regarding stock purchase discounts.
I04,insufficient_evidence,What is the annual commuter rail subsidy?,insufficient_evidence,no_conflict,False,abstain,no_resolution_needed,False,True,False,False,False,7.6107,There is insufficient evidence to determine the annual commuter rail subsidy.,"The provided evidence does not contain any information related to commuter rail subsidies. The evidence focuses on laptop assignments and wellness programs for employees, which are not relevant to the question about the annual commuter rail subsidy."
I05,insufficient_evidence,How much life insurance coverage does the company provide?,insufficient_evidence,no_conflict,False,abstain,no_resolution_needed,False,True,False,False,False,7.6973,The provided evidence does not contain any information about life insurance coverage.,The evidence consists of two documents: one about meal expenses and another about remote work policies. Neither document provides any information about life insurance coverage.
I06,insufficient_evidence,What is the maximum annual gym membership reimbursement?,insufficient_evidence,no_conflict,False,abstain,no_resolution_needed,False,True,False,False,False,8.9854,The provided evidence does not contain any information about the maximum annual gym membership reimbursement.,"The evidence provided in the 'vacation.txt' and 'conference.txt' documents do not contain any information related to gym membership reimbursements. Therefore, no conflict is detected, and no resolution strategy is needed as the question cannot be answered with the given information."
N01,no_conflict,Is manager approval required for conference travel?,no_conflict,direct_factual_conflict,False,no_resolution_needed,present_both_positions,False,False,False,True,False,8.4007,Manager approval is required for conference travel.,"Both evidence sources claim that manager approval is required for conference travel, but they do not provide any additional context or conditions under which this might not be true. Therefore, the answer is that manager approval is required for conference travel based on the provided evidence."
N02,no_conflict,How many paid volunteer days are provided?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,6.8301,3 paid volunteer days are provided each year.,Both evidence sources provide the same claim: Employees receive 3 paid volunteer days each year.
N03,no_conflict,What is the annual professional development budget?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,7.2477,$1000,Both evidence documents provide the same claim: Employees may receive up to $1000 per year for professional development.
N04,no_conflict,Is security training mandatory each year?,no_conflict,direct_factual_conflict,False,no_resolution_needed,present_both_positions,False,False,False,True,False,11.0947,"The evidence provided contains conflicting claims about whether security training is mandatory each year for employees. One source states that employees must complete security training every year, while the other source also states the same requirement. However, since the sources are not explicitly labeled as official or authoritative, and there is no clear temporal difference, the conflict is due to direct factual disagreement.","Both evidence sources claim that employees must complete security training every year, but they are not labeled as official or authoritative. The conflict is due to the direct factual disagreement between the two sources."
N05,no_conflict,What is the monthly mobile phone reimbursement?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,6.8632,$50 per month,Both evidence sources provide the same claim and value for the monthly mobile phone reimbursement.
N06,no_conflict,How many sick days are provided annually?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,6.8724,9 paid sick days per year,Both evidence sources provide the same claim: Employees receive 9 paid sick days per year.
