id,category,question,expected_conflict_type,predicted_conflict_type,conflict_type_correct,expected_strategy,predicted_strategy,strategy_correct,expected_abstain,predicted_abstain,abstain_correct,predicted_verified,overall_correct,latency_seconds,final_answer,conflict_explanation
A06,ambiguous_question,What conference budget can employees use?,ambiguous_question,ambiguous_question,True,ask_for_clarification,ask_for_clarification,True,False,False,True,True,True,22.7117,Do you mean employees based in the United States or employees based in Europe?,"The evidence contains different answers for different conditions or populations: employees based in europe, employees based in the united states. The question does not specify which condition or population is intended, so clarification is required."
I01,insufficient_evidence,What is the employee dental insurance deductible?,insufficient_evidence,insufficient_evidence,True,abstain,abstain,True,True,True,True,True,True,17.7281,I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
I02,insufficient_evidence,How much is the annual childcare subsidy?,insufficient_evidence,insufficient_evidence,True,abstain,abstain,True,True,True,True,True,True,17.1965,I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
I03,insufficient_evidence,What is the company stock purchase discount?,insufficient_evidence,insufficient_evidence,True,abstain,abstain,True,True,True,True,True,True,12.1067,I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
I04,insufficient_evidence,What is the annual commuter rail subsidy?,insufficient_evidence,insufficient_evidence,True,abstain,abstain,True,True,True,True,True,True,14.9198,I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
I05,insufficient_evidence,How much life insurance coverage does the company provide?,insufficient_evidence,insufficient_evidence,True,abstain,abstain,True,True,True,True,True,True,10.4607,I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
I06,insufficient_evidence,What is the maximum annual gym membership reimbursement?,insufficient_evidence,insufficient_evidence,True,abstain,abstain,True,True,True,True,True,True,12.7193,I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
N01,no_conflict,Is manager approval required for conference travel?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,True,16.1603,Manager approval is required for conference travel.,The most relevant claims from the available sources agree with each other. Therefore no conflict is present.
N02,no_conflict,How many paid volunteer days are provided?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,True,16.9137,Employees receive 3 paid volunteer days each year.,The most relevant claims from the available sources agree with each other. Therefore no conflict is present.
N03,no_conflict,What is the annual professional development budget?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,True,17.5659,Employees may receive up to $1000 per year for professional development.,The most relevant claims from the available sources agree with each other. Therefore no conflict is present.
N04,no_conflict,Is security training mandatory each year?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,True,15.7193,Employees must complete security training every year.,The most relevant claims from the available sources agree with each other. Therefore no conflict is present.
N05,no_conflict,What is the monthly mobile phone reimbursement?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,True,17.4404,Employees may receive $50 per month for approved mobile phone expenses.,The most relevant claims from the available sources agree with each other. Therefore no conflict is present.
N06,no_conflict,How many sick days are provided annually?,no_conflict,no_conflict,True,no_resolution_needed,no_resolution_needed,True,False,False,True,True,True,18.4031,Employees receive 9 paid sick days per year.,The most relevant claims from the available sources agree with each other. Therefore no conflict is present.
