id,dataset_source,original_conflict_type,scored,question,expected_conflict_type,predicted_conflict_type,conflict_type_correct,resolution_strategy,selected_source,abstained,verified,latency_seconds,reference_answer,final_answer,conflict_explanation
EXT031,situated_qa_geo,Complementary information,True,when did channel 5 start,ambiguous_question,direct_factual_conflict,False,prefer_authoritative_source,Channel 5 (British TV channel) - Wikipedia,False,False,65.1745, ,Channel 5 started on 30 March 1997 (Easter Sunday) at 6 p.m.,"The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT032,freshqa,Complementary information,True,How many books has Shoshana Zuboff published?,ambiguous_question,direct_factual_conflict,False,prefer_newer_authoritative_source,Shoshana Zuboff - Wikipedia,False,False,84.4314, ,"Based on the evidence provided, there is no explicit claim about the number of books Shoshana Zuboff has published. The relevant sources focus on her works, awards, and positions, but do not specify the total number of books she has authored. The Wikipedia source provides more direct information about her works, including the titles of her books 'In the Age of the Smart Machine: The Future of Work and Power' and 'The Support Economy: Why Corporations Are Failing Individuals and the Next Episode of Capitalism'.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT033,freshqa,Conflict due to outdated information,True,What is the name of the world's fastest supercomputer?,temporal_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,US' El Capitan Is Now the World's Fastest Supercomputer | PCMag,False,False,79.0368,EL-Capitan ,El Capitan,"The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT034,conflicting_qa,Conflicting opinions and research outcomes,True,Do cameras reduce crime?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,52.8016, ,"The evidence provided by the sources does not directly support or refute the claim that cameras reduce crime. The sources indicate that CCTV does not have a statistically significant effect in reducing crime overall, but they also mention that CCTV-generated enforcement is related to the reduction of certain types of crime. The sources do not provide a clear consensus on whether cameras reduce crime or not.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT035,conflicting_qa,Complementary information,True,Is a 'pled' a correct past tense of 'plead'?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,,False,True,35.2734,Yes,"Many people think that pled is the preferred term in the UK, but that’s not the case. However, Australia seems to have a preference for the spelling 'pled' over 'pleaded'. When thinking of pleading guilty, 'pleaded' is more commonly used than 'pled'.","The relevant claims apply under different explicit conditions or populations: in america, canada, and the uk, in australia, in the uk, when thinking of pleading guilty."
EXT036,qacc,Conflicting opinions and research outcomes,True,when was the first temple built in jerusalem?,direct_factual_conflict,temporal_conflict,False,prefer_newer_authoritative_source,Solomon's Temple - Wikipedia,False,True,22.2389, ,The First Temple was destroyed during the Siege of Jerusalem by Nebuchadnezzar II of the Neo-Babylonian Empire in 587 BCE.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT037,freshqa,No conflict,True,How many accounts have exceeded 100 million followers on Instagram?,no_conflict,direct_factual_conflict,False,present_both_positions,,False,True,47.6691,at least 5 accounts,"Based on the evidence provided, there is no claim about the number of accounts that have exceeded 100 million followers on Instagram. The evidence focuses on the number of followers of specific individuals and the growth rate of Instagram's Monthly Active Users (MAUs). Therefore, no resolution is needed as the evidence does not contain the specific information requested.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT038,conflicting_qa,Conflicting opinions and research outcomes,True,Do birds mate for life?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,46.9259, ,"The evidence provided does not explicitly state that all birds mate for life. However, it mentions that Bald eagles mate for life and that approximately 90% of bird species partner up for life. This suggests that while some birds do mate for life, it is not a universal behavior across all bird species.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT039,qacc,Conflict due to misinformation,False,Where did the expression a bridge too far come from?,,direct_factual_conflict,,present_both_positions,,False,True,33.0118,Operation Market Garden during World War II. ,"The expression 'a bridge too far' comes from the Battle of Arnhem during World War II. The phrase was used to describe the impracticality of the Allied forces' plan to cross the Rhine River and liberate the Netherlands. The origin of the phrase is not explicitly stated in the provided evidence, but it is commonly associated with this historical event.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT040,conflicting_qa,Conflicting opinions and research outcomes,True,Does Brain Training actually improve cognitive function?,direct_factual_conflict,conditional_conflict,False,explain_conditional_difference,,False,True,48.2652, ,"Informal mentally stimulating activities, such as reading or playing games, may lower the risk of Alzheimer’s-related cognitive impairment and dementia. Some types of cognitive training conducted in a research setting also seem to have benefits. A 2019 study found that people with more frequent social contact were less likely to experience cognitive decline and dementia. A 2019 review notes that bilingualism increases and strengthens connectivity between different areas of the brain.","The relevant claims apply under different explicit conditions or populations: a 2019 review notes, a 2019 study found, observational studies suggest this, some types of cognitive training conducted in a research setting, the researchers propose."
EXT041,situated_qa_temp,No conflict,True,what is the biggest country in europe by population?,no_conflict,temporal_conflict,False,prefer_newer_authoritative_source,Key facts and figures | European Union,False,True,37.3712,Russia,The EU has more than 448 million inhabitants.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT042,situated_qa_geo,Complementary information,True,who had the right to vote,ambiguous_question,temporal_conflict,False,prefer_newer_authoritative_source,History of Voting,False,True,28.2455, ,"In 1868, the 14th Amendment recognized African Americans as citizens, giving them the right to vote.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT043,conflicting_qa,No conflict,True,Do we know what causes Alzheimer's disease?,no_conflict,temporal_conflict,False,prefer_newer_authoritative_source,What Causes Alzheimer's Disease? | National Institute on Aging,False,True,38.0419,No,Scientists don't yet fully understand what causes Alzheimer's disease in most people.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT044,situated_qa_temp,No conflict,True,how many seasons are there for lost girl,no_conflict,temporal_conflict,False,prefer_newer_authoritative_source,Lost Girl - The Complete Series [DVD] : Movies & TV - Amazon.com,False,True,47.6991,5,"The complete five seasons of Lost Girl follows the life of a succubus named Bo, as she learns to control her abilities, and discovers the truth about her origins.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT045,freshqa,Conflict due to outdated information,True,What is the title of Taylor Swift's most recent studio album?,temporal_conflict,direct_factual_conflict,False,present_both_positions,,False,True,78.5094,The Tortured Poets Department,"The most recent studio album by Taylor Swift is 1989 (Taylor's Version), which was released in 2014. However, the evidence does not specify if this is her most recent studio album or if she has any other studio albums.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT046,freshqa,Conflict due to outdated information,True,Who is the latest MotoGP World Riders' Champion?,temporal_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,2022 MotoGP World Championship - Wikipedia,False,False,59.7254,Jorge Martin,"Based on the evidence provided, the 2022 MotoGP World Championship was won by Francesco Bagnaia, who also achieved the riders' championship in that year. However, the evidence does not provide information about the latest MotoGP World Riders' Champion. Therefore, the answer to the question is that the latest MotoGP World Riders' Champion is not specified in the provided evidence.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT047,freshqa,No conflict,True,Who was the winner of American Idol this year?,no_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,The Complete List of 'American Idol' Winners | Entertainment Tonight,False,False,74.0795,Abi Carter,Abi Carter won season 22 of American Idol this year.,"The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT048,freshqa,No conflict,True,Who are the latest champions of the North America's oldest professional sports trophy?,no_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,Stanley Cup Finals - Wikipedia,False,False,75.3783,Montreal Canadiens,"The latest champions of the North America's oldest professional sports trophy, the Stanley Cup, are not explicitly stated in the provided evidence. The evidence focuses on the history and status of the Stanley Cup, including its early winners and the pattern of alternation between East and West in the championship finals. The preferred source, 'Stanley Cup Finals - Wikipedia', has the highest relevance and applicability to the user's question, but it does not specify the most recent champions.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT049,situated_qa_temp,Conflict due to outdated information,True,Where is the next Grand Prix?,temporal_conflict,direct_factual_conflict,False,present_both_positions,,False,True,88.4721,"Melbourne, Australia","The next Grand Prix is the Australian Grand Prix, which is Round 1 of the 2024 FIA Formula One World Championship. However, the sources do not provide a specific date for the next race.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT050,qacc,No conflict,True,how many us states currently use capital punishment?,no_conflict,direct_factual_conflict,False,present_both_positions,,False,True,111.4136,27,"Based on the provided evidence, there is no direct claim about the current number of US states that use capital punishment. The sources provide information about the history and status of capital punishment in various states, but do not specify the current number of states using the death penalty. Therefore, we cannot determine the exact number of US states that currently use capital punishment.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT051,freshqa,No conflict,True,How many vehicle models does Tesla offer?,no_conflict,conditional_conflict,False,explain_conditional_difference,,False,True,52.5947,4,"Tesla expanded its four-model lineup to 12 versions with the introduction of the Standard Range Model S and Model X. Including wheel options, the total number of Tesla models increases to 22.","The relevant claims apply under different explicit conditions or populations: including wheel options, recent introduction of the standard range model s and model x."
EXT052,conflicting_qa,Conflicting opinions and research outcomes,True,Can detox diets help in weight loss?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,90.593, ,"The evidence provided by the sources does not explicitly state whether detox diets help with weight loss. However, one source claims that detoxing can be an effective way to lose weight and help with overall health, while another source mentions that detox diets are typically very rigid and involve eating the same few things over and over. Both sources agree that detoxing has gained popularity as a method for weight loss and overall well-being.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT053,situated_qa_temp,Conflict due to outdated information,True,how many students attend university of texas at austin,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,The University of Texas at Austin | Data USA,False,True,56.2692,"51,913","The University of Texas at Austin has 49,081 students.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT054,situated_qa_geo,Complementary information,True,when was christianity became the official religion,ambiguous_question,temporal_conflict,False,prefer_newer_authoritative_source,Christianity becomes the religion of the Roman Empire - DW,False,True,53.5326, ,"Christianity becomes the religion of the Roman Empire on February 27, 380.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT055,conflicting_qa,Conflicting opinions and research outcomes,True,Does yoga help increase height?,direct_factual_conflict,ambiguous_question,False,ask_for_clarification,,False,True,51.6235, ,Could you clarify which condition or population you mean?,"The evidence contains different answers for different conditions or populations: depending on your activities, for the most part. The question does not specify which condition or population is intended, so clarification is required."
EXT056,situated_qa_geo,Conflict due to outdated information,True,total number of cafe coffee day,temporal_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,Number of Cafe Coffee Day locations in India in 2023 - ScrapeHero,False,False,73.4653,450,"As of February 21, 2023, there are 1,384 Cafe Coffee Day stores in India.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT057,conflicting_qa,Conflicting opinions and research outcomes,True,Is online learning as effective as traditional classroom learning?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,78.1688, ,"The provided sources present conflicting claims regarding the effectiveness of online learning compared to traditional classroom learning. Some sources suggest that online learning is more effective, citing reasons such as students gaining more knowledge and the effectiveness of online education in helping students earn their degrees. Other sources indicate that online education is as effective as traditional on-campus schooling, noting the number of students enrolled in online courses and their ability to gain the necessary information for their degrees. There is no clear consensus on which method is more effective.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT058,situated_qa_geo,No conflict,True,who signed the declaration of independence,no_conflict,temporal_conflict,False,prefer_newer_authoritative_source,Who signed the Declaration of Independence?,False,True,32.3588,56 delegates to the Continental Congress,56 delegates to the Continental Congress signed the engrossed Declaration of Independence.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT059,conflicting_qa,Complementary information,True,Are somatic mutations passed to offspring?,ambiguous_question,direct_factual_conflict,False,present_both_positions,,False,True,70.7627, ,"The provided evidence does not explicitly state whether somatic mutations are passed to offspring in general. The sources discuss somatic mutations in coral and their genetic consequences, but do not provide a direct answer to the question of whether somatic mutations are passed to offspring in all organisms. Therefore, both positions can be presented.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT060,conflicting_qa,Conflicting opinions and research outcomes,True,Does every startup need a business plan?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,41.623, ,"Based on the evidence provided, there is no direct statement that every startup needs a business plan. The sources focus on the benefits and structure of a business plan, but do not make a blanket statement about all startups needing one. Therefore, the answer to whether every startup needs a business plan is not explicitly clear from the given sources.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
